longitude;latitude;housing_median_age;average_rooms;average_bedrooms;average_occupancy;population;median_income;ocean_proximity;median_house_value
-122.23;37.88;41.0;6.98;1.02;2.56;322.0;83252.0;'NEAR BAY';452600.0
-122.22;37.86;21.0;6.24;0.97;2.11;2401.0;83014.0;'NEAR BAY';358500.0
-122.24;37.85;52.0;8.29;1.07;2.8;496.0;72574.0;'NEAR BAY';352100.0
-122.25;37.85;52.0;5.82;1.07;2.55;558.0;56431.0;'NEAR BAY';341300.0
-122.25;37.85;52.0;6.28;1.08;2.18;565.0;38462.0;'NEAR BAY';342200.0
-122.25;37.85;52.0;4.76;1.1;2.14;413.0;40368.0;'NEAR BAY';269700.0
-122.25;37.84;52.0;4.93;0.95;2.13;1094.0;36591.0;'NEAR BAY';299200.0
-122.25;37.84;52.0;4.8;1.06;1.79;1157.0;31200.0;'NEAR BAY';241400.0
-122.26;37.84;42.0;4.29;1.12;2.03;1206.0;20804.0;'NEAR BAY';226700.0
-122.25;37.84;52.0;4.97;0.99;2.17;1551.0;36912.0;'NEAR BAY';261100.0
-122.26;37.85;52.0;5.48;1.08;2.26;910.0;32031.0;'NEAR BAY';281500.0
-122.26;37.85;52.0;4.77;1.02;2.05;1504.0;32705.0;'NEAR BAY';241800.0
-122.26;37.85;52.0;5.32;1.01;2.35;1098.0;30750.0;'NEAR BAY';213500.0
-122.26;37.84;52.0;4.0;1.1;1.98;345.0;26736.0;'NEAR BAY';191300.0
-122.26;37.85;52.0;4.26;1.01;1.95;1212.0;19167.0;'NEAR BAY';159200.0
-122.26;37.85;50.0;4.24;1.07;2.64;697.0;21250.0;'NEAR BAY';140000.0
-122.27;37.85;52.0;5.94;1.05;2.4;793.0;27750.0;'NEAR BAY';152500.0
-122.27;37.85;52.0;4.05;0.97;2.14;648.0;21202.0;'NEAR BAY';155500.0
-122.26;37.84;50.0;5.34;1.09;2.36;990.0;19911.0;'NEAR BAY';158700.0
-122.27;37.84;52.0;5.47;1.08;2.51;690.0;26033.0;'NEAR BAY';162900.0
-122.27;37.85;40.0;4.52;1.11;2.46;409.0;13578.0;'NEAR BAY';147500.0
-122.27;37.85;42.0;4.48;1.0;2.54;929.0;17135.0;'NEAR BAY';159800.0
-122.27;37.84;52.0;5.1;1.13;2.12;1015.0;17250.0;'NEAR BAY';113900.0
-122.27;37.84;52.0;5.19;1.04;2.62;853.0;21806.0;'NEAR BAY';99700.0
-122.27;37.84;52.0;5.27;1.04;2.38;1006.0;26000.0;'NEAR BAY';132600.0
-122.28;37.85;41.0;4.5;1.03;2.66;317.0;24038.0;'NEAR BAY';107500.0
-122.28;37.85;49.0;4.73;1.02;2.54;607.0;24597.0;'NEAR BAY';93800.0
-122.28;37.85;52.0;4.78;1.06;2.78;1102.0;18080.0;'NEAR BAY';105500.0
-122.28;37.84;50.0;4.4;1.04;2.39;1131.0;16424.0;'NEAR BAY';108900.0
-122.28;37.84;52.0;4.7;1.03;2.55;395.0;16875.0;'NEAR BAY';132000.0
-122.28;37.84;49.0;5.07;1.18;2.28;863.0;19274.0;'NEAR BAY';122300.0
-122.28;37.84;52.0;4.88;1.09;2.65;1168.0;19615.0;'NEAR BAY';115200.0
-122.27;37.84;48.0;5.74;1.22;3.06;1026.0;17969.0;'NEAR BAY';110400.0
-122.27;37.83;49.0;5.03;1.11;2.29;754.0;13750.0;'NEAR BAY';104900.0
-122.27;37.83;51.0;4.97;1.07;2.35;1258.0;27303.0;'NEAR BAY';109700.0
-122.27;37.83;49.0;4.6;1.07;2.16;570.0;14861.0;'NEAR BAY';97200.0
-122.27;37.83;48.0;4.81;1.16;2.64;987.0;10972.0;'NEAR BAY';104500.0
-122.28;37.83;52.0;3.75;0.97;2.24;901.0;14103.0;'NEAR BAY';103900.0
-122.26;37.83;52.0;4.76;1.07;2.23;689.0;34800.0;'NEAR BAY';191400.0
-122.26;37.83;52.0;3.49;1.03;1.98;1377.0;25898.0;'NEAR BAY';176000.0
-122.26;37.83;52.0;4.22;1.06;2.39;946.0;20978.0;'NEAR BAY';155400.0
-122.26;37.83;51.0;3.76;1.25;2.08;517.0;12852.0;'NEAR BAY';150000.0
-122.26;37.84;49.0;3.77;1.07;2.44;462.0;10250.0;'NEAR BAY';118800.0
-122.26;37.84;52.0;4.8;1.02;2.36;467.0;39643.0;'NEAR BAY';188800.0
-122.26;37.83;52.0;4.94;1.07;2.26;660.0;30125.0;'NEAR BAY';184400.0
-122.26;37.83;52.0;4.34;1.1;1.88;718.0;26768.0;'NEAR BAY';182300.0
-122.26;37.83;50.0;3.7;1.06;2.03;616.0;20260.0;'NEAR BAY';142500.0
-122.27;37.82;43.0;3.98;1.23;2.21;558.0;17348.0;'NEAR BAY';137500.0
-122.26;37.82;40.0;3.9;1.22;2.64;423.0;9506.0;'NEAR BAY';187500.0
-122.27;37.82;40.0;2.69;1.07;1.99;700.0;17750.0;'NEAR BAY';112500.0
-122.27;37.82;21.0;2.05;1.03;1.68;735.0;9218.0;'NEAR BAY';171900.0
-122.27;37.82;43.0;4.59;1.12;2.61;1061.0;15045.0;'NEAR BAY';93800.0
-122.27;37.82;41.0;4.47;1.18;2.72;1959.0;11108.0;'NEAR BAY';97500.0
-122.27;37.82;52.0;4.08;1.14;2.9;1162.0;12475.0;'NEAR BAY';104200.0
-122.28;37.82;52.0;5.02;1.01;3.01;701.0;16098.0;'NEAR BAY';87500.0
-122.28;37.82;52.0;4.3;1.1;2.62;576.0;14113.0;'NEAR BAY';83100.0
-122.28;37.82;52.0;4.78;1.11;2.4;622.0;15057.0;'NEAR BAY';87500.0
-122.28;37.82;52.0;6.1;1.37;2.98;728.0;8172.0;'NEAR BAY';85300.0
-122.28;37.82;52.0;4.56;1.12;3.53;1074.0;12171.0;'NEAR BAY';80300.0
-122.29;37.82;2.0;2.77;0.75;1.65;94.0;25625.0;'NEAR BAY';60000.0
-122.29;37.83;52.0;5.99;1.13;2.96;554.0;33929.0;'NEAR BAY';75700.0
-122.29;37.82;49.0;5.87;1.26;3.74;86.0;61183.0;'NEAR BAY';75000.0
-122.29;37.81;50.0;6.23;1.56;3.09;377.0;9011.0;'NEAR BAY';86100.0
-122.3;37.81;52.0;7.7;1.49;3.28;521.0;11910.0;'NEAR BAY';76100.0
-122.3;37.81;48.0;6.23;1.37;2.95;392.0;25938.0;'NEAR BAY';73500.0
